rank,country,area
"1
",Algeria,"2,381,741 km2 (919,595 sq mi)
"
"2
",Democratic Republic of the Congo,"2,344,858 km2 (905,355 sq mi)
"
"3
",Sudan,"1,861,484 km2 (718,723 sq mi)
"
"4
",Libya,"1,759,540 km2 (679,362 sq mi)
"
"5
",Chad,"1,284,000 km2 (495,755 sq mi)
"
"6
",Niger,"1,267,000 km2 (489,191 sq mi)
"
"7
",Angola,"1,246,700 km2 (481,354 sq mi)
"
"8
",Mali,"1,240,192 km2 (478,841 sq mi)
"
"9
",South Africa,"1,221,037 km2 (471,445 sq mi)
"
"10
",Ethiopia,"1,104,300 km2 (426,373 sq mi)
"
"11
",Mauritania,"1,030,700 km2 (397,955 sq mi)
"
"12
",Egypt,"1,001,449 km2 (386,662 sq mi)
"
"13
",Tanzania,"945,203 km2 (364,945 sq mi)
"
"14
",Nigeria,"923,768 km2 (356,669 sq mi)
"
"15
",Namibia,"825,418 km2 (318,696 sq mi)
"
"16
",Mozambique,"801,590 km2 (309,496 sq mi)
"
"17
",Zambia,"752,614 km2 (290,586 sq mi)
"
"18
",Morocco,"710,850 km2 (274,461 sq mi)
"
"19
",South Sudan,"644,329 km2 (248,777 sq mi)
"
"20
",Somalia,"637,657 km2 (246,201 sq mi)
"
"21
",Central African Republic,"622,984 km2 (240,535 sq mi)
"
"22
",Madagascar,"587,041 km2 (226,658 sq mi)
"
"23
",Botswana,"581,726 km2 (224,606 sq mi)
"
"24
",Kenya,"580,367 km2 (224,081 sq mi)
"
"25
",Cameroon,"475,442 km2 (183,569 sq mi)
"
"26
",Zimbabwe,"390,757 km2 (150,872 sq mi)
"
"27
",Republic of the Congo,"342,000 km2 (132,047 sq mi)
"
"28
",Ivory Coast (Côte d'Ivoire),"322,460 km2 (124,503 sq mi)
"
"29
",Burkina Faso,"274,000 km2 (105,792 sq mi)
"
"30
",Gabon,"267,668 km2 (103,347 sq mi)
"
"31
",Guinea,"245,857 km2 (94,926 sq mi)
"
"32
",Ghana,"238,534 km2 (92,098 sq mi)
"
"33
",Uganda,"236,040 km2 (91,136 sq mi)
"
"34
",Senegal,"196,723 km2 (75,955 sq mi)
"
"35
",Tunisia,"163,610 km2 (63,170 sq mi)
"
"36
",Malawi,"118,484 km2 (45,747 sq mi)
"
"37
",Eritrea,"117,600 km2 (45,406 sq mi)
"
"38
",Benin,"112,622 km2 (43,484 sq mi)
"
"39
",Liberia,"111,369 km2 (43,000 sq mi)
"
"40
",Sierra Leone,"71,740 km2 (27,699 sq mi)
"
"41
",Togo,"56,785 km2 (21,925 sq mi)
"
"42
",Guinea-Bissau,"36,125 km2 (13,948 sq mi)
"
"43
",Lesotho,"30,355 km2 (11,720 sq mi)
"
"44
",Equatorial Guinea,"28,051 km2 (10,831 sq mi)
"
"45
",Burundi,"27,830 km2 (10,745 sq mi)
"
"46
",Rwanda,"26,798 km2 (10,347 sq mi)
"
"47
",Djibouti,"23,200 km2 (8,958 sq mi)
"
"48
",Eswatini (Swaziland),"17,364 km2 (6,704 sq mi)
"
"49
","Gambia, The","10,380 km2 (4,008 sq mi)
"
"50
",Cape Verde,"4,033 km2 (1,557 sq mi)
"
"51
",Comoros,"2,235 km2 (863 sq mi)
"
"52
",Mauritius,"2,040 km2 (788 sq mi)
"
"53
",São Tomé and Príncipe,"964 km2 (372 sq mi)
"
"54
",Seychelles,"451 km2 (174 sq mi)
"
